numero,densidadb,densidadp,replica,tamano,circ,at,numCF,densidadp_porc,at_n,tamanoat2,numCFat2,circat2,densidadp_num
8,0.3,0,1,560,0.9,757324,75,0,0.713123625,399.3492298,53.48427185,0.641811262,0
9,0.3,0,1,610,0.732,757324,75,0,0.713123625,435.0054111,53.48427185,0.522006493,0
10,0.3,0,1,298,0.89,757324,75,0,0.713123625,212.5108402,53.48427185,0.634680026,0
11,0.3,0,1,502,0.905,757324,75,0,0.713123625,357.9880596,53.48427185,0.64537688,0
12,0.3,0,1,281,0.913,757324,75,0,0.713123625,200.3877385,53.48427185,0.651081869,0
13,0.3,0,1,541,0.917,757324,75,0,0.713123625,385.799881,53.48427185,0.653934364,0
14,0.3,0,1,133,0.973,757324,75,0,0.713123625,94.84544208,53.48427185,0.693869287,0
15,0.3,0,1,144,0.948,757324,75,0,0.713123625,102.689802,53.48427185,0.676041196,0
16,0.3,0,1,969,0.79,757324,75,0,0.713123625,691.0167923,53.48427185,0.563367664,0
17,0.3,0,1,726,0.9,757324,75,0,0.713123625,517.7277515,53.48427185,0.641811262,0
18,0.3,0,1,480,0.877,757324,75,0,0.713123625,342.2993399,53.48427185,0.625409419,0
19,0.3,0,1,195,0.938,757324,75,0,0.713123625,139.0591068,53.48427185,0.66890996,0
20,0.3,0,1,347,0.938,757324,75,0,0.713123625,247.4538978,53.48427185,0.66890996,0
21,0.3,0,1,130,0.962,757324,75,0,0.713123625,92.70607121,53.48427185,0.686024927,0
22,0.3,0,1,824,0.861,757324,75,0,0.713123625,587.6138667,53.48427185,0.613999441,0
23,0.3,0,1,257,0.924,757324,75,0,0.713123625,183.2727715,53.48427185,0.658926229,0
24,0.3,0,1,580,0.86,757324,75,0,0.713123625,413.6117023,53.48427185,0.613286317,0
25,0.3,0,1,246,0.94,757324,75,0,0.713123625,175.4284117,53.48427185,0.670336207,0
26,0.3,0,1,303,0.931,757324,75,0,0.713123625,216.0764583,53.48427185,0.663918095,0
27,0.3,0,1,210,0.935,757324,75,0,0.713123625,149.7559612,53.48427185,0.666770589,0
28,0.3,0,1,186,0.969,757324,75,0,0.713123625,132.6409942,53.48427185,0.691016792,0
29,0.3,0,1,553,0.872,757324,75,0,0.713123625,394.3573645,53.48427185,0.621843801,0
30,0.3,0,1,205,0.93,757324,75,0,0.713123625,146.1903431,53.48427185,0.663204971,0
31,0.3,0,1,89,0.933,757324,75,0,0.713123625,63.4680026,53.48427185,0.665344342,0
32,0.3,0,1,675,0.892,757324,75,0,0.713123625,481.3584467,53.48427185,0.636106273,0
33,0.3,0,1,418,0.899,757324,75,0,0.713123625,298.0856751,53.48427185,0.641098139,0
34,0.3,0,1,299,0.905,757324,75,0,0.713123625,213.2239638,53.48427185,0.64537688,0
35,0.3,0,1,303,0.949,757324,75,0,0.713123625,216.0764583,53.48427185,0.67675432,0
36,0.3,0,1,802,0.711,757324,75,0,0.713123625,571.925147,53.48427185,0.507030897,0
37,0.3,0,1,297,0.723,757324,75,0,0.713123625,211.7977165,53.48427185,0.515588381,0
38,0.3,0,1,306,0.9,757324,75,0,0.713123625,218.2158292,53.48427185,0.641811262,0
39,0.3,0,1,849,0.811,757324,75,0,0.713123625,605.4419574,53.48427185,0.57834326,0
40,0.3,0,1,429,0.884,757324,75,0,0.713123625,305.930035,53.48427185,0.630401284,0
